vendor_id,name,category,rating,unit_price
VEND-001,TechCorp Logistics,laptops,4.8,750.0
VEND-002,Global Systems Ltd,laptops,4.2,680.0
VEND-003,Apex Hardware Direct,laptops,4.9,820.0
VEND-004,NextGen Supplies,laptops,3.9,610.0
VEND-005,OfficeDepot Hub,monitors,4.5,220.0
VEND-006,DisplayTech Wholesale,monitors,4.6,195.0
VEND-007,ErgoFurn Direct,chairs,4.7,310.0
VEND-008,Enterprise Partner 8,laptops,4.3,596.0
VEND-009,Enterprise Partner 9,monitors,4.4,608.0
VEND-010,Enterprise Partner 10,laptops,4.5,620.0
VEND-011,Enterprise Partner 11,monitors,4.6,632.0
VEND-012,Enterprise Partner 12,laptops,4.7,644.0
VEND-013,Enterprise Partner 13,monitors,4.8,656.0
VEND-014,Enterprise Partner 14,laptops,4.9,668.0
VEND-015,Enterprise Partner 15,monitors,3.5,680.0
VEND-016,Enterprise Partner 16,laptops,3.6,692.0
VEND-017,Enterprise Partner 17,monitors,3.7,704.0
VEND-018,Enterprise Partner 18,laptops,3.8,716.0
VEND-019,Enterprise Partner 19,monitors,3.9,728.0
VEND-020,Enterprise Partner 20,laptops,4.0,740.0
VEND-021,Enterprise Partner 21,monitors,4.1,752.0
VEND-022,Enterprise Partner 22,laptops,4.2,764.0
VEND-023,Enterprise Partner 23,monitors,4.3,776.0
VEND-024,Enterprise Partner 24,laptops,4.4,788.0
VEND-025,Enterprise Partner 25,monitors,4.5,800.0
VEND-026,Enterprise Partner 26,laptops,4.6,812.0
VEND-027,Enterprise Partner 27,monitors,4.7,824.0
VEND-028,Enterprise Partner 28,laptops,4.8,836.0
VEND-029,Enterprise Partner 29,monitors,4.9,848.0
VEND-030,Enterprise Partner 30,laptops,3.5,860.0
